Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation,Eclipsing,CV_Types,CV_subtypes,CV_subsubtypes,eclipse_clear,Clarity,manual_label,
CSS 170930:080158+653107,000-BML-360,08 01 57.48 +65 31 07.0,Cam,UG,--,15.3: - 22.9 r CV,120.4895,65.51861111,ZTF18acbzitw,0.132378423,0,dwarf_nova,,,,,,
DDE 167,000-BNB-360,03 34 49.07 +60 59 20.1,Cam,UG,--,14.3 - 19.7 r,53.70445833,60.98891667,ZTF18abnvglc,0.401923409,0,dwarf_nova,,,,,,
DDE 22,000-BKD-609,04 30 42.94 +69 44 28.4,Cam,UG,--,15.9 - 19.8 R,67.67891667,69.74122222,ZTF17aabsjcc,0.197404579,0,dwarf_nova,,,,,,
Gaia16bfo,000-BLZ-557,05 52 51.95 +69 46 35.7,Cam,UG,--,18.1 - 22.1 B G,88.21645833,69.77658333,ZTF18aabicgg,0.057006512,0,dwarf_nova,,,,,,
Gaia17bgk,000-BMH-475,03 54 58.42 +63 39 08.6,Cam,UG,--,17.8 - 20.7 G,58.74341667,63.65238889,ZTF19aadpuet,0.162871013,0,dwarf_nova,,,,,,
Gaia17djt,--,04 42 16.82 +65 55 20.0,Cam,UG,--,18.0 - <22 G,70.57008333,65.92222222,ZTF17aaahfrt,0.057254547,0,dwarf_nova,,,,,,
Gaia18bza,000-BMS-687,06 42 52.77 +69 45 34.7,Cam,UG,--,>18.1 - 19.6 G,100.719875,69.75963889,ZTF18acvqink,1.079296759,0,dwarf_nova,,,,,,
Gaia19bbb,000-BNB-289,03 28 15.93 +61 25 17.3,Cam,UG,--,14.2 - 18.8 G,52.066375,61.42147222,ZTF18abppgdj,0.203716332,0,dwarf_nova,,,,,,
Gaia19bmx,000-BNC-200,05 23 31.92 +65 09 05.6,Cam,UG,--,14.7 - 21.6 g,80.883,65.15155556,ZTF19aaptscb,0.084173595,0,dwarf_nova,,,,,,
Gaia19ftq,000-BNJ-601,05 33 38.46 +77 27 34.8,Cam,UG,--,18.8 - 21.2 G,83.41025,77.45966667,ZTF18abvrmwx,0.41180306,0,dwarf_nova,,,,,,
Gaia20fgy,000-BNS-199,04 32 57.56 +64 31 08.3,Cam,UG,--,18.6 - 21.6 r G,68.23983333,64.51897222,ZTF18aaaatda,0.042920281,0,dwarf_nova,,,,,,
Gaia21ctl,000-BNZ-748,04 33 29.60 +72 50 51.8,Cam,UG,--,18.6 - 20.9 G,68.37333333,72.84772222,ZTF18acakeog,0.094184198,0,dwarf_nova,,,,,,
Gaia21eik,000-BPD-393,03 38 39.61 +53 51 32.2,Cam,UG,--,18.4 - 19.8 r,54.66504167,53.85894444,ZTF19acdfwaa,0.27665681,0,dwarf_nova,,,,,,
IPHAS J040828.31+560826.7,000-BND-828,04 08 28.32 +56 08 26.6,Cam,UG,--,18.8 - 22.0 g,62.118,56.14072222,ZTF18abmwuml,0.087799153,0,dwarf_nova,,,,,,
iPTF17an,000-BMD-833,08 03 16.61 +66 11 10.2,Cam,UG,--,14.4 - 19.0 g,120.8192083,66.18616667,ZTF18acqxeba,0.245252064,0,dwarf_nova,,,,,,
MASTER OT J034850.94+714202.0,000-BLH-850,03 48 51.10 +71 42 01.3,Cam,UG,--,16.0 - 21.5 r,57.21291667,71.70036111,ZTF18achstoy,0.241760477,0,dwarf_nova,,,,,,
MASTER OT J040556.85+714813.1,--,04 05 56.85 +71 48 13.1,Cam,UG,--,18.2 - <19.7 CR,61.486875,71.80363889,ZTF18abyydum,1.048943953,0,dwarf_nova,,,,,,
MASTER OT J042341.77+765237.0,000-BLH-852,04 23 41.87 +76 52 37.4,Cam,UG,--,16.0 - 20.2 G,65.92445833,76.87705556,ZTF19aaklvfd,0.063363581,0,dwarf_nova,,,,,,
MASTER OT J045337.76+534047.3,--,04 53 37.76 +53 40 47.3,Cam,UG,--,17.1 - <20.4 CR,73.40733333,53.67980556,ZTF17aabpiuu,0.523647267,0,dwarf_nova,,,,,,
MASTER OT J050002.20+740407.4,000-BLY-419,05 00 01.95 +74 04 07.9,Cam,UG,--,16.9 - 21.5 B CR,75.008125,74.06886111,ZTF19aajxopi,0.65908158,0,dwarf_nova,,,,,,
MASTER OT J053020.30+585156.9,000-BLG-122,05 30 20.30 +58 51 56.9,Cam,UG,--,18.5 - ? CR,82.58458333,58.86580556,ZTF18acqwiyk,0.765674412,0,dwarf_nova,,,,,,
MASTER OT J062323.48+730744.0,000-BKW-409,06 23 23.46 +73 07 43.0,Cam,UG,--,14.5 - 19.2 g,95.84775,73.12861111,ZTF17aabvptl,0.068796146,0,dwarf_nova,,,,,,
MASTER OT J080549.62+684821.0,000-BNF-999,08 05 49.60 +68 48 20.5,Cam,UG,--,15.9 - 21.2 CV V,121.4566667,68.80569444,ZTF18abvgcne,0.249755979,0,dwarf_nova,,,,,,
MASTER OT J084404.01+794408.7,000-BLH-859,08 44 04.01 +79 44 08.7,Cam,UG,--,16.2 - <18.5 CR,131.0167083,79.73575,ZTF18aaagcqv,0.719914737,0,dwarf_nova,,,,,,
MASTER OT J111830.64+801437.9,000-BLL-267,11 18 30.47 +80 14 38.0,Cam,UG,--,15.5 - 20.6 G CR,169.6269583,80.24388889,ZTF20aagfirh,0.216747689,0,dwarf_nova,,,,,,
MGAB-V387,--,04 05 18.91 +72 48 08.1,Cam,UG,--,18.1 - 21.8 r,61.32879167,72.80225,ZTF18acuwhvg,0.145045866,0,dwarf_nova,,,,,,
MGAB-V450,--,04 34 00.56 +71 24 24.6,Cam,UG,--,17.2 - 20.8 g,68.50233333,71.40683333,ZTF18abuppce,0.031793412,0,dwarf_nova,,,,,,
MGAB-V501,--,03 35 09.78 +64 26 07.2,Cam,UG,--,17.7 - 21.5 r,53.79075,64.43533333,ZTF18abndpsu,0.131626978,0,dwarf_nova,,,,,,
MGAB-V605,--,03 54 51.73 +59 54 02.0,Cam,UG,--,19.2 - 22.0 g,58.71554167,59.90055556,ZTF18acbvdsr,0.060386366,0,dwarf_nova,,,,,,
MGAB-V616,--,04 49 31.44 +53 14 15.8,Cam,UG,--,16.3 - 20.7 g,72.381,53.23772222,ZTF17aaarlxm,0.070959223,0,dwarf_nova,,,,,,
MGAB-V617,--,04 50 39.33 +53 46 49.6,Cam,UG,--,17.9 - 21.1 g,72.663875,53.78044444,ZTF17aaabkxv,0.167446932,0,dwarf_nova,,,,,,
PNV J05393469+5715159,000-BPC-453,05 39 34.65 +57 15 15.7,Cam,UG,--,13.9 - 22.1 g,84.894375,57.25436111,ZTF21abuzuih,0.199238503,0,dwarf_nova,,,,,,
PS15aaf,000-BMB-714,06 14 43.29 +57 16 42.8,Cam,UG,--,18.3 - 22.1 B CV,93.680375,57.27855556,ZTF19acdkxkm,0.045067605,0,dwarf_nova,,,,,,
USNO-A2.0 1575-02548621,000-BMS-322,06 26 09.64 +67 45 31.5,Cam,UG,--,18.0 - 21.0 CV,96.54016667,67.75875,ZTF18abtnfzy,0.281060832,0,dwarf_nova,,,,,,
ZTF17aabhmby,000-BPF-523,05 23 37.91 +57 05 34.0,Cam,UG,--,18.4 - 21.0 r,80.90795833,57.09277778,ZTF17aabhmby,0.101288504,0,dwarf_nova,,,,,,
ZTF18aaakopv,--,05 02 33.62 +57 57 19.2,Cam,UG,--,17.4 - 19.5 r,75.64008333,57.95533333,ZTF18aaakopv,0.122172592,0,dwarf_nova,,,,,,
ZTF18aaakpbx,--,04 42 23.54 +58 26 12.4,Cam,UG,--,18.8 - 21.9 r,70.59808333,58.43677778,ZTF18aaakpbx,0.018695888,0,dwarf_nova,,,,,,
ZTF18abryzqt,--,03 41 08.33 +73 22 15.9,Cam,UG,--,16.7 - 22.1 g,55.28470833,73.37108333,ZTF18abryzqt,0.065849365,0,dwarf_nova,,,,,,
ZTF18abvmyvb,--,07 54 11.66 +61 44 54.8,Cam,UG,--,17.7 - 20.2 r,118.5485833,61.74855556,ZTF18abvmyvb,0.398216137,0,dwarf_nova,,,,,,
ZTF18abyjiqa,--,04 02 31.26 +57 11 49.1,Cam,UG,--,16.6 - 21.4 g,60.63025,57.19697222,ZTF18adnxhas,0.126204265,0,dwarf_nova,,,,,,
ZTF18acnavqf,--,05 19 49.57 +64 29 21.7,Cam,UG,--,16.3 - 17.7 r,79.95654167,64.48936111,ZTF19aaeqsrf,0.135934493,0,dwarf_nova,,,,,,
ZTF18acskbbh,--,04 54 36.61 +63 43 00.6,Cam,UG,--,18.9 - 22.3: g,73.65254167,63.71683333,ZTF18acskbbh,0.254514378,0,dwarf_nova,,,,,,
ZTF18aczcdpz,--,03 47 15.74 +60 57 49.5,Cam,UG,--,17.3 - 20.3 r,56.81558333,60.96375,ZTF18aczcdpz,0.3535291,0,dwarf_nova,,,,,,
ZTF19aaabhsh,--,04 18 23.89 +58 48 09.9,Cam,UG,--,17.9 - 21.3: g,64.59954167,58.80275,ZTF19aaabhsh,0.077938265,0,dwarf_nova,,,,,,
ZTF19aabhktg,000-BPC-801,04 02 55.95 +63 29 52.1,Cam,UG,--,17.6 - 23 r,60.733125,63.49780556,ZTF19aabhktg,0.024005467,0,dwarf_nova,,,,,,
ZTF19abqapbi,000-BPH-034,06 19 37.58 +67 34 01.9,Cam,UG,--,14.8 - 21.5 g,94.90658333,67.56719444,ZTF19abqapbi,0.093378329,0,dwarf_nova,,,,,,
ZTF19aceviuo,000-BNT-516,04 04 25.56 +70 36 31.9,Cam,UG,--,18.8 - 22.6 g,61.1065,70.60886111,ZTF19aceviuo,0.106116611,0,dwarf_nova,,,,,,
ZTF20acypdlh,000-BNS-858,06 09 32.58 +63 11 39.4,Cam,UG,--,16.3 - 23.5 g,92.38575,63.19427778,ZTF20acypdlh,0.032960528,0,dwarf_nova,,,,,,
ZTF21acjjtmh,000-BPF-397,07 46 37.99 +65 37 51.6,Cam,UG,--,18.8 - 21.7 g,116.6582917,65.631,ZTF21acjjtmh,0.077268732,0,dwarf_nova,,,,,,
ASASSN-15ii,000-BLQ-469,08 38 19.54 +16 50 39.5,Cnc,UG,--,15.0 - 21.8 V,129.5814167,16.84430556,ZTF20aaimqhh,0.081725004,0,dwarf_nova,,,,,,
ATLAS21bkih,000-BPF-395,08 37 34.72 +16 00 42.3,Cnc,UG,--,17.2 - 22.8 r o,129.3946667,16.01175,ZTF21aciosfu,0.056339746,0,dwarf_nova,,,,,,
CSS 071231:082822+105344,000-BKT-913,08 28 21.75 +10 53 44.5,Cnc,UG,--,16.2 - 20.5 CV,127.090625,10.89569444,ZTF21aaglscz,0.796521231,0,dwarf_nova,,,,,,
CSS 080202:081415+080450,--,08 14 14.92 +08 04 50.2,Cnc,UG,--,16.8 - 22.1 CV,123.5621667,8.080611111,ZTF19aamgeup,0.529138903,0,dwarf_nova,,,,,,
CSS 080506:085409+201339,--,08 54 09.44 +20 13 39.1,Cnc,UG,--,16.9 - 20.6 CV,133.5393333,20.22752778,ZTF18aaeuivv,0.379223611,0,dwarf_nova,,,,,,
CSS 091022:090516+120451,000-BKZ-349,09 05 16.07 +12 04 51.0,Cnc,UG,--,15.9 - 19.8 CV,136.3169583,12.08083333,ZTF17aabujji,0.060542606,0,dwarf_nova,,,,,,
CSS 100313:085607+123837,--,08 56 06.83 +12 38 36.6,Cnc,UG,--,19.1 - <22.0 CV,134.0284583,12.6435,ZTF18aajxrpq,0.635615621,0,dwarf_nova,,,,,,
CSS 100313:091635+130358,--,09 16 34.64 +13 03 57.8,Cnc,UG,--,18.5 - 21.5 CV,139.1443333,13.06605556,ZTF19aaqzfuk,0.472033034,0,dwarf_nova,,,,,,
CSS 110125:090852+071640,--,09 08 52.15 +07 16 37.8,Cnc,UG,--,16.9 - 21.2 CV,137.2172917,7.277166667,ZTF19aahvgyg,1.644284738,0,dwarf_nova,,,,,,
CSS 120210:081237+161946,--,08 12 36.55 +16 19 45.5,Cnc,UG,--,17.5 - <22.7 CV,123.1522917,16.32930556,ZTF18aabvpbb,0.773188426,0,dwarf_nova,,,,,,
CSS 120423:091542+140939,000-BKT-906,09 15 41.62 +14 09 38.6,Cnc,UG,--,16.3 - 22.2 CV,138.9234167,14.16072222,ZTF20aaavxvy,0.149598685,0,dwarf_nova,,,,,,
Gaia19buk,000-BNC-487,08 44 34.10 +07 32 22.8,Cnc,UG,--,17.4 - 21.2 G,131.1420833,7.539666667,ZTF19aaadsri,0.1292003,0,dwarf_nova,,,,,,
GUVV J090904.4+091714.4,000-BKT-907,09 09 04.40 +09 17 14.4,Cnc,UG,--,16.1 - 21.1 CV,137.2683333,9.287333333,ZTF21aavonlz,1.457203532,0,dwarf_nova,,,,,,
MASTER OT J091112.50+173344.0,000-BPF-094,09 11 12.49 +17 33 42.4,Cnc,UG,--,15.8 - 23.7 r,137.8020417,17.56177778,ZTF21acjxssp,0.222935585,0,dwarf_nova,,,,,,
MLS 141120:082226+170823,--,08 22 26.33 +17 08 22.8,Cnc,UG,--,18.44 (3.96) CV,125.6097083,17.13966667,ZTF18aaftnru,0.426874392,0,dwarf_nova,,,,,,
MLS 141124:082155+131610,--,08 21 54.85 +13 16 09.7,Cnc,UG,--,17.98 (3.32) CV,125.4785417,13.26936111,ZTF18aaqitkv,0.087529747,0,dwarf_nova,,,,,,
MLS 151206:081931+213338,--,08 19 31.25 +21 33 37.9,Cnc,UG,--,16.86 (2.64) CV,124.8802083,21.56052778,ZTF18aabuaxp,0.263720052,0,dwarf_nova,,,,,,
PTF09bd,--,08 07 29.72 +15 34 41.8,Cnc,UG,--,17.04 - 22 CR,121.8738333,15.57827778,ZTF18aaabiok,0.099405654,0,dwarf_nova,,,,,,
SDSS J080846.19+313106.0,000-BCZ-649,08 08 46.19 +31 31 06.0,Cnc,UG,0.20587,14.1 - 20.4 g,122.1924583,31.51833333,ZTF17aabyrpg,0.258875433,0,dwarf_nova,,,,,,
SDSS J080934.80+121943.0,000-BLT-661,08 09 34.79 +12 19 43.1,Cnc,UG,--,15.5 - 20.3 r CR,122.3949583,12.32863889,ZTF18aabqvcj,0.317473225,0,dwarf_nova,,,,,,
SDSS J082457.15+073702.4,000-BFV-014,08 24 57.15 +07 37 02.4,Cnc,UG,--,17.4 - <21 CR,126.238125,7.617333333,ZTF18acwwlft,0.391227667,0,dwarf_nova,,,,,,
SDSS J084108.10+102536.2,000-BJY-142,08 41 08.10 +10 25 36.2,Cnc,UG,--,15.8 - 20.1 r,130.28375,10.42672222,ZTF19acsxrwa,0.205930203,0,dwarf_nova,,,,,,
SDSS J091127.36+084140.7,000-BFT-549,09 11 27.36 +08 41 40.8,Cnc,UG,0.20538,15.2 - 21 CR,137.864,8.694666667,ZTF18aciberz,0.151823906,0,dwarf_nova,,,,,,
ZTF18aabnrpx,--,08 04 07.97 +08 37 14.6,Cnc,UG,--,17.5 - 20.2 r,121.0332083,8.620722222,ZTF18aabnrpx,0.1356214,0,dwarf_nova,,,,,,
ZTF18acurpxm,--,08 24 08.12 +13 31 20.4,Cnc,UG,--,15.1 - 21.5 g,126.0338333,13.52233333,ZTF18acurpxm,0.112385673,0,dwarf_nova,,,,,,
ZTF21aarkoym,--,08 01 21.49 +11 53 10.2,Cnc,UG,--,16.9 - 23.6 g,120.3395417,11.88616667,ZTF21aarkoym,0.061086296,0,dwarf_nova,,,,,,
ASASSN-14mr,000-BLL-586,13 19 08.89 +31 58 32.1,CVn,UG,--,15.5 - 20.0 V,199.7870417,31.97558333,ZTF18aahxkit,0.061701791,0,dwarf_nova,,,,,,
CSS 090705:135219+280917,--,13 52 18.94 +28 09 17.1,CVn,UG,--,17.2 - 19.9 CV,208.0789167,28.15475,ZTF17aabxjdq,0.167616099,0,dwarf_nova,,,,,,
CSS 120317:131514+424747,--,13 15 14.39 +42 47 44.7,CVn,UG,--,15.6 - 20 CV,198.8099583,42.79575,ZTF18aabxycb,0.405363815,0,dwarf_nova,,,,,,
GUVV J132715.2+425932.1,--,13 27 15.28 +42 59 32.8,CVn,UG,--,17.9 - 20.5 r,201.8136667,42.99244444,ZTF19abntgkl,0.346048014,0,dwarf_nova,,,,,,
MGAB-V701,--,13 36 15.76 +38 09 33.4,CVn,UG,--,18.3 - 21.7 g,204.0656667,38.15927778,ZTF17aabxkbu,0.104048915,0,dwarf_nova,,,,,,
DM CMa,000-BDH-818,06 52 47.17 -14 21 26.1,CMa,UG,--,14.3 - 17.4 V,103.1965417,-14.35725,ZTF17aabwggq,0.507662856,0,dwarf_nova,,,,,,
EU CMa,000-BCV-031,07 05 40.32 -16 08 44.5,CMa,UG,--,16.5 - <19.0 p,106.418,-16.14569444,ZTF18acytesp,0.502011586,0,dwarf_nova,,,,,,
ASASSN-14gi,000-BLK-908,06 14 24.52 -15 18 44.6,CMa,UG,--,14.7 - 19.5 V,93.60216667,-15.31238889,ZTF19acbvhfu,0.586032022,0,dwarf_nova,,,,,,
ASASSN-14hx,000-BLK-436,06 30 02.27 -27 50 10.6,CMa,UG,--,15.2 - 20.4 V,97.50945833,-27.83627778,ZTF19aaeqxbb,0.215808579,0,dwarf_nova,,,,,,
ASASSN-14jm,000-BMP-262,06 26 59.49 -24 55 16.0,CMa,UG,--,14.7 - 18.0 G,96.747875,-24.92111111,ZTF19aaacqaf,0.043467058,0,dwarf_nova,,,,,,
ASASSN-16an,000-BLV-707,07 08 16.61 -12 45 44.7,CMa,UG,--,16.4 - 20.0 B V,107.0692083,-12.76241667,ZTF17aaagsbj,0.09230995,0,dwarf_nova,,,,,,
ASASSN-18yg,000-BMV-842,06 17 39.25 -25 25 01.1,CMa,UG,--,14.9 - <23 g,94.41354167,-25.41697222,ZTF18acyvhgf,0.090344583,0,dwarf_nova,,,,,,
ASASSN-19aas,000-BNH-534,06 23 34.62 -15 24 13.7,CMa,UG,--,16.0 - 21.6 g,95.89425,-15.40380556,ZTF19acnlgks,0.079913213,0,dwarf_nova,,,,,,
ASASSN-19abv,000-BNH-954,07 17 45.24 -24 33 53.1,CMa,UG,--,16.1 - 19.7 g,109.4385,-24.56475,ZTF20aajlzpg,0.397943228,0,dwarf_nova,,,,,,
ASASSN-19ad,000-BMY-016,06 55 13.83 -21 07 20.3,CMa,UG,--,17.1 - 21.1 g,103.807625,-21.12230556,ZTF20aacacvg,0.09200242,0,dwarf_nova,,,,,,
ASASSN-19ms,000-BNC-457,07 09 18.04 -18 14 53.8,CMa,UG,--,16.4 - 20.4 g,107.3251667,-18.24827778,ZTF18acrvbvi,0.306650773,0,dwarf_nova,,,,,,
ASASSN-20ph,000-BNS-625,06 57 04.30 -27 21 53.9,CMa,UG,--,16.5 - 20.9 g,104.2679167,-27.36497222,ZTF20aamreyj,0.087042715,0,dwarf_nova,,,,,,
ATLAS22blyc,000-BPM-353,06 54 02.08 -20 53 50.2,CMa,UG,--,18.0 - <23 r,103.5086667,-20.89727778,ZTF22abtoode,0.058640267,0,dwarf_nova,,,,,,
Gaia15aen,000-BLQ-337,06 38 31.28 -22 52 04.8,CMa,UG,--,15.8 - 22.6 g,99.63033333,-22.868,ZTF17aabwgbp,0.194196104,0,dwarf_nova,,,,,,
Gaia16alx,000-BLX-762,06 37 55.39 -22 04 26.1,CMa,UG,--,18.1 - <20.9 G,99.48079167,-22.07391667,ZTF19acmoqrr,0.248865513,0,dwarf_nova,,,,,,
Gaia16arq,000-BLY-360,07 01 10.38 -20 44 43.7,CMa,UG,--,15.1 - 19.9 g,105.29325,-20.74547222,ZTF18acvegfz,0.107838608,0,dwarf_nova,,,,,,
Gaia16bac,000-BLY-958,06 53 52.98 -15 22 15.7,CMa,UG,--,17.2 - 21.2 B G,103.47075,-15.37102778,ZTF17aabskxi,0.073957893,0,dwarf_nova,,,,,,
Gaia17abh,000-BMD-757,07 17 08.65 -27 49 00.3,CMa,UG,--,18.0 - <22 G,109.2860417,-27.81675,ZTF20acuhlns,0.057006512,0,dwarf_nova,,,,,,
Gaia17bpx,000-BMJ-315,06 49 35.06 -21 51 12.9,CMa,UG,--,18.8 - <22 G,102.3960833,-21.85358333,ZTF19acgjlli,0.190809987,0,dwarf_nova,,,,,,
Gaia18ajg,--,07 18 44.74 -24 25 46.3,CMa,UG,--,17.8 - 20.5 G,109.6864167,-24.42952778,ZTF18adbecnu,0.089292806,0,dwarf_nova,,,,,,
Gaia18akq,--,06 45 43.27 -20 22 22.0,CMa,UG,--,18.2 - 20.7 r G,101.4302917,-20.37277778,ZTF19abzrcnk,0.113264844,0,dwarf_nova,,,,,,
Gaia18ary,000-BMQ-114,06 29 55.18 -18 45 59.2,CMa,UG,--,18.9 - <22 G,97.47991667,-18.76644444,ZTF20actgqui,0.192191256,0,dwarf_nova,,,,,,
Gaia18cjs,--,07 14 42.58 -20 18 56.4,CMa,UG,--,17.6 - 21.2 G r,108.6774167,-20.31566667,ZTF19aaaosww,0.263720052,0,dwarf_nova,,,,,,
Gaia18duw,000-BMX-339,07 01 39.92 -23 41 39.0,CMa,UG,--,16.0 - 20.5 G,105.4163333,-23.69416667,ZTF18aculosz,0.020387857,0,dwarf_nova,,,,,,
Gaia19ami,000-BMZ-237,07 09 49.48 -23 16 23.7,CMa,UG,--,17.7 - 21.8 g G,107.4561667,-23.27325,ZTF20aalmgfs,0.183490715,0,dwarf_nova,,,,,,
Gaia19bgn,000-BNC-013,07 11 53.13 -20 37 50.4,CMa,UG,--,18.0 - 21.3 G,107.971375,-20.63066667,ZTF17aabwgmt,0.080208206,0,dwarf_nova,,,,,,
Gaia20ags,000-BNK-649,07 02 55.30 -23 17 01.8,CMa,UG,--,18.3 - 21.1 G,105.7304167,-23.28383333,ZTF21aabjzpy,0.153186693,0,dwarf_nova,,,,,,
Gaia20fkh,000-BNS-524,06 47 13.40 -21 49 59.7,CMa,UG,--,18.3 - 21.4 G,101.8058333,-21.83325,ZTF20aapsnwy,0.101846572,0,dwarf_nova,,,,,,
Gaia21eyi,000-BPF-120,06 38 06.67 -25 18 40.5,CMa,UG,--,18.3 - 20.5 G,99.52779167,-25.31125,ZTF19aaakeyd,0.267454894,0,dwarf_nova,,,,,,
Gaia21fou,000-BPF-955,06 15 43.27 -23 47 45.0,CMa,UG,--,17.1 - 20.1 G,93.93029167,-23.79583333,ZTF22abrpopd,0.213409531,0,dwarf_nova,,,,,,
Gaia22clm,000-BPK-079,07 17 13.32 -26 56 40.4,CMa,UG,--,17.8 - 21.1 G,109.3055,-26.94455556,ZTF19aacugki,0.100539596,0,dwarf_nova,,,,,,
MASTER OT J061837.94-124658.2,--,06 18 37.94 -12 46 58.2,CMa,UG,--,17.8 - <18.8 CR,94.65808333,-12.78283333,ZTF18acuwyti,0.541884477,0,dwarf_nova,,,,,,
MASTER OT J062655.88-231831.1,000-BLW-773,06 26 55.88 -23 18 31.1,CMa,UG,--,18.8 - <22 CR,96.73283333,-23.30863889,ZTF19acgjjfy,0.168150671,0,dwarf_nova,,,,,,
MASTER OT J064720.96-261456.5,000-BLP-339,06 47 20.95 -26 14 56.4,CMa,UG,--,15.1 - 20.0 B CV,101.8372917,-26.249,ZTF18acullnw,0.032960528,0,dwarf_nova,,,,,,
MGAB-V468,--,07 07 04.13 -12 29 32.0,CMa,UG,--,17.3 - 20.8 r,106.7672083,-12.49222222,ZTF18acpvmyl,0.066775361,0,dwarf_nova,,,,,,
PS15dbp,000-BLT-842,06 44 39.91 -19 56 42.2,CMa,UG,--,18.0 - 22.2 r',101.1662917,-19.94505556,ZTF20aacaefq,0.069206873,0,dwarf_nova,,,,,,
SERIV 132,000-BNB-484,07 14 03.77 -19 46 55.6,CMa,UG,--,17.5: - 19.5: I,108.5157083,-19.78211111,ZTF20aahjtug,0.125679193,0,dwarf_nova,,,,,,
SSS 110328:061757-254504,000-BKV-716,06 17 56.58 -25 45 04.3,CMa,UG,--,15.7 - <20.5 CV,94.48575,-25.75119444,ZTF19aakvvcf,0.241838616,0,dwarf_nova,,,,,,
SSS 110424:061513-235131,--,06 15 12.92 -23 51 30.8,CMa,UG,--,15.7 - 19.9 CV,93.80383333,-23.85855556,ZTF23aabsyyu,0.038634366,0,dwarf_nova,,,,,,
SSS 120411:063645-182531,000-BMP-570,06 36 44.86 -18 25 30.6,CMa,UG,--,14.3 - 22.4 V,99.18691667,-18.42516667,ZTF19acbopbm,0.590528415,0,dwarf_nova,,,,,,
SSS 121217:062754-200330,--,06 27 53.93 -20 03 29.9,CMa,UG,--,16.9 - 21.0 CV,96.97470833,-20.05830556,ZTF21acqscyz,0.090865906,0,dwarf_nova,,,,,,
ZTF17aaapnay,--,06 41 05.40 -12 50 23.6,CMa,UG,--,16.6 - 20.3: g,100.2725,-12.83988889,ZTF17aaapnay,0.140244426,0,dwarf_nova,,,,,,
ZTF17aabfzkn,--,07 08 09.41 -18 39 53.0,CMa,UG,--,18.1 - 20.7 r,107.0392083,-18.66472222,ZTF17aabfzkn,0.261543854,0,dwarf_nova,,,,,,
ZTF17aabgevt,--,07 22 24.56 -16 41 04.4,CMa,UG,--,16.8 - 19.0 r,110.6023333,-16.68455556,ZTF17aabgevt,0.09008279,0,dwarf_nova,,,,,,
ZTF18aaapdpi,--,06 26 38.93 -27 01 34.6,CMa,UG,--,15.4 - 18.3 g,96.66220833,-27.02627778,ZTF18aaapdpi,0.048984886,0,dwarf_nova,,,,,,
ZTF18acrvasy,--,07 15 52.52 -13 26 14.7,CMa,UG,--,17.1 - 19.6: g,108.9688333,-13.43741667,ZTF18acrvasy,0.093630908,0,dwarf_nova,,,,,,
ZTF18acullhv,--,06 43 21.26 -23 40 08.4,CMa,UG,--,14.9 - 19.1 r,100.8385833,-23.669,ZTF18acullhv,0.703528798,0,dwarf_nova,,,,,,
ZTF18aculnnf,--,07 14 22.58 -25 06 59.2,CMa,UG,--,17.1 - 20.6 g,108.5940833,-25.11644444,ZTF18aculnnf,0.131519279,0,dwarf_nova,,,,,,
ZTF18aculoxo,--,07 07 27.29 -25 35 08.3,CMa,UG,--,16.4 - 19.8 g,106.8637083,-25.58563889,ZTF18aculoxo,0.195891326,0,dwarf_nova,,,,,,
ZTF18aculrfe,--,07 08 26.72 -23 20 15.5,CMa,UG,--,17.4 - 21.6: g,107.1113333,-23.33763889,ZTF18aculrfe,0.063512496,0,dwarf_nova,,,,,,
ZTF18acvufgr,--,06 49 11.22 -20 28 24.3,CMa,UG,--,17.1 - 20.0 g,102.29675,-20.47341667,ZTF18acvufgr,0.172778137,0,dwarf_nova,,,,,,
ZTF18adauaeq,--,07 17 08.97 -22 36 12.6,CMa,UG,--,17.5 - 21.0 g,109.287375,-22.6035,ZTF18adauaeq,0.086224883,0,dwarf_nova,,,,,,
ZTF19aaailih,000-BPF-475,06 20 41.45 -18 49 42.6,CMa,UG,--,16.9 - 22.7 g,95.17270833,-18.8285,ZTF19aaailih,0.009220755,0,dwarf_nova,,,,,,
ZTF19aaegzot,--,07 26 59.23 -13 03 22.1,CMa,UG,--,16.6 - 19.8: g,111.7467917,-13.05613889,ZTF19aaegzot,0.373753512,0,dwarf_nova,,,,,,
ZTF19aakvvcx,--,06 21 00.16 -17 10 52.4,CMa,UG,--,18.0 - 20.7 g,95.25066667,-17.18122222,ZTF19aakvvcx,0.081086745,0,dwarf_nova,,,,,,
ZTF19aceckgg,--,06 22 35.06 -23 10 34.0,CMa,UG,--,16.5 - 21.3 g,95.64608333,-23.17611111,ZTF19aceckgg,0.156993722,0,dwarf_nova,,,,,,
ZTF21aaedpyk,000-BNT-952,06 36 51.08 -15 31 33.7,CMa,UG,--,16.7 - 23: g,99.21283333,-15.52602778,ZTF21aaedpyk,0.08439776,0,dwarf_nova,,,,,,
ASASSN-14jk,000-BLK-803,07 38 35.86 +09 58 06.0,CMi,UG,--,15.8 V - 20.9 B,114.6494167,9.968333333,ZTF17aaaindr,0.468658744,0,dwarf_nova,,,,,,
