Name,AUID,Coords,Const,Type,Period,Mag,ra,dec
Gaia19afn,000-BMY-629,10 59 37.89 -60 40 31.1,Car,UG:,--,17.6 - <22 G,164.90787499999996,-60.67530555555555
Gaia19afo,000-BMY-744,09 21 45.03 -68 18 15.6,Car,UG:,--,17.3 - <22 G,140.43762499999997,-68.30433333333333
Gaia19afr,000-BMY-745,09 07 31.81 -72 11 18.2,Car,UG:,--,17.2 - <22 G,136.88254166666667,-72.1883888888889
Gaia19bcr,000-BNB-427,10 46 38.42 -70 38 33.4,Car,UG:,--,18.1 - <22 G,161.66008333333332,-70.64261111111112
Gaia19bdh,000-BNB-453,10 39 32.91 -63 13 24.6,Car,UG:,--,18.5 - <22 G,159.88712499999997,-63.2235
Gaia19bdm,000-BNB-466,07 52 31.45 -55 05 15.1,Car,UG,--,18.1 - <22 G,118.13104166666666,-55.08752777777778
Gaia19bdq,000-BNB-468,10 35 53.36 -61 36 46.4,Car,UG,--,16.5 - 20.4 G,158.97233333333332,-61.61288888888889
Gaia19bdt,000-BNB-479,09 07 38.07 -60 40 53.0,Car,UG,--,16.5 - <20.9 G,136.90862499999997,-60.68138888888889
Gaia19bdu,000-BNB-480,07 35 03.25 -56 41 46.2,Car,UG:,--,18.0 - <21 G,113.76354166666665,-56.69616666666666
Gaia19bdy,000-BNB-483,10 27 12.50 -58 26 06.7,Car,NL/VY,--,16.9 - <19.8 G,156.8020833333333,-58.43519444444444
Gaia19bmg,000-BNC-182,11 11 10.41 -57 13 38.3,Car,UGZ:,--,17.3 - 20.8 G,167.793375,-57.22730555555556
Gaia19bnm,000-BNC-232,10 44 42.57 -66 24 28.3,Car,UG,--,16.6 - <21 G,161.17737499999996,-66.40786111111112
Gaia19bnt,000-BNC-246,10 19 41.59 -71 10 13.5,Car,UG:,--,18.4 - <22 G,154.92329166666664,-71.17041666666667
Gaia19bzx,000-BNC-991,07 56 17.22 -63 09 29.6,Car,UG:,--,18.3 - <22 G,119.07174999999998,-63.15822222222222
Gaia19cbj,000-BND-019,09 41 52.48 -63 41 42.7,Car,UG,--,15.8 - <22 g,145.46866666666665,-63.69519444444444
Gaia19cbm,000-BND-021,09 25 12.44 -64 33 27.4,Car,UG,--,17.2 - 20.6 G,141.30183333333332,-64.55761111111111
Gaia19cbn,000-BND-022,09 36 20.34 -64 39 53.1,Car,UG,--,17.0 - 18.9 G,144.08474999999996,-64.66475000000001
Gaia19ccw,000-BND-041,10 36 59.66 -61 57 17.1,Car,UG:,--,18.8 - <22 G,159.24858333333333,-61.954750000000004
Gaia19cwb,000-BND-885,07 27 00.54 -59 51 16.5,Car,UG,--,18.3 - 21.1 G,111.75224999999999,-59.85458333333334
Gaia19cwl,000-BND-888,09 48 37.92 -63 42 38.7,Car,UG:,--,18.8 - <22 G,147.158,-63.710750000000004
Gaia19cww,000-BND-889,10 39 23.41 -58 24 37.6,Car,UG,--,17.0 - 21.4 G,159.84754166666664,-58.410444444444444
Gaia19dcv,000-BNF-102,10 57 04.22 -59 51 39.1,Car,UG:,--,18.9 - <22 G,164.2675833333333,-59.86086111111111
Gaia19dfl,000-BNF-574,07 30 48.38 -56 41 15.3,Car,UG|SN,--,18.7 - <22 G,112.70158333333332,-56.68758333333333
Gaia19dsh,--,10 59 53.04 -59 15 27.2,Car,UG:,--,18.3 - <21 G,164.97099999999998,-59.257555555555555
Gaia19eju,000-BNH-005,10 29 06.70 -68 13 52.2,Car,UG:,--,17.9 - <22 G,157.27791666666664,-68.23116666666667
Gaia19eke,000-BNH-012,10 15 34.83 -64 34 35.5,Car,UG:,--,18.2 - <22 G,153.89512499999998,-64.57652777777777
Gaia19ekn,000-BNH-016,07 42 51.72 -56 04 50.5,Car,UG:,--,17.6 - <22 G,115.71549999999999,-56.08069444444445
Gaia19elf,000-BNH-030,10 31 49.21 -57 12 44.2,Car,UG:,--,17.5 - <22 G,157.95504166666666,-57.21227777777778
Gaia19eut,000-BNH-463,11 07 37.04 -68 22 42.9,Car,UG:,--,17.8 - <22 G,166.9043333333333,-68.37858333333332
Gaia19eux,000-BNH-344,10 59 24.48 -62 42 27.0,Car,UG,--,15.9 - 20.1 G,164.85199999999998,-62.7075
Gaia19evf,000-BNH-468,10 14 57.19 -58 37 35.5,Car,UG:,--,15.2 - 18.9 V g,153.73829166666664,-58.62652777777778
Gaia19evi,000-BNH-469,10 24 44.94 -65 00 19.8,Car,UG:,--,16.3 - <22 G,156.18725,-65.0055
Gaia19flw,000-BNJ-316,10 51 19.88 -63 35 28.7,Car,UG:,--,17.3 - <22 G,162.8328333333333,-63.59130555555556
Gaia20acv,000-BNK-143,09 21 20.27 -63 20 05.9,Car,UG,--,17.1 - 20.9 G,140.33445833333332,-63.33497222222223
Gaia20aoh,000-BNK-617,09 51 59.34 -63 57 08.5,Car,UG,--,18.3 - 21.0 G,147.99724999999998,-63.95236111111112
Gaia20cjf,000-BNM-923,06 18 44.87 -53 01 29.9,Car,UG,--,18.6 - <22 G,94.68695833333332,-53.024972222222225
Gaia20eas,000-BNP-935,10 49 41.17 -71 14 33.3,Car,UG:,--,18.5 - <22 G,162.42154166666666,-71.24258333333333
Gaia20fbg,000-BNR-960,10 57 56.94 -71 59 59.2,Car,UG:,--,17.2 - <22 G,164.48724999999996,-71.99977777777778
Gaia20fid,000-BNS-801,09 11 55.05 -60 11 02.5,Car,UG:,--,18.2 - <22 G,137.97937499999998,-60.18402777777777
Gaia21ajd,000-BNV-149,10 23 48.27 -57 53 39.1,Car,NL/VY,--,17.7 - <19.5 G,155.95112499999996,-57.894194444444445
Gaia21axz,000-BNX-031,11 05 41.40 -60 33 12.0,Car,UG:,--,18.6 - <22 G,166.42249999999999,-60.55333333333333
Gaia21bag,000-BNX-060,09 55 42.44 -61 18 33.3,Car,UG,--,17.5 - 21.1 G,148.92683333333332,-61.30925
Gaia21bbg,000-BNX-614,08 19 28.85 -57 26 06.2,Car,UG+E:,--,16.1 - 19.6 G,124.87020833333332,-57.43505555555555
Gaia21bpc,000-BNX-952,08 38 31.78 -60 56 02.1,Car,UG:,--,17.9 - <22 G,129.63241666666664,-60.93391666666666
Gaia21bpg,000-BNY-211,10 47 17.58 -62 08 07.8,Car,UG,--,18.5 - <22 G,161.82324999999997,-62.1355
Gaia21bpp,000-BNY-198,09 37 07.88 -60 14 13.1,Car,UG,--,15.9 - 19.4 V g,144.28283333333331,-60.23697222222222
Gaia21cbr,--,10 16 24.59 -60 33 10.3,Car,UG:,--,18.6 - <21 G,154.10245833333335,-60.552861111111106
Gaia21cdj,000-BNY-814,06 57 29.01 -63 13 11.7,Car,UG,--,17.8 - 20.9 G,104.370875,-63.21991666666667
Gaia21csb,--,10 52 50.21 -72 04 54.3,Car,UG:,--,18.5 - <22 G,163.20920833333332,-72.08175
Gaia21ddk,000-BPB-677,10 47 06.13 -70 57 06.2,Car,UG,--,16.1 - <22 g,161.77554166666664,-70.95172222222223
Gaia21deb,--,09 29 49.63 -65 32 28.5,Car,UG|SN,--,18.6 - <22 G,142.45679166666665,-65.54125
Gaia21dqb,000-BPC-192,09 36 04.09 -65 44 55.0,Car,NL,--,13.46 - 13.77 G,144.01704166666664,-65.74861111111112
Gaia21eol,--,10 31 17.49 -71 42 34.4,Car,UG:,--,18.7 - <21 G,157.82287499999998,-71.70955555555555
Gaia21eov,000-BPD-653,08 35 18.26 -56 21 17.2,Car,UG,--,18.4 - 20.8 G,128.82608333333334,-56.35477777777778
Gaia21eoz,000-BPD-654,11 02 56.02 -64 03 52.6,Car,UG,--,18.5 - 21.0 G,165.73341666666664,-64.0646111111111
Gaia21fbf,--,07 59 59.68 -54 40 47.6,Car,UG:,--,18.7 - <21 G,119.99866666666665,-54.67988888888889
Gaia21fjj,000-BPF-702,09 58 53.38 -62 00 02.4,Car,UG,--,18.1 - 20.4 G,149.72241666666667,-62.00066666666667
Gaia22ali,000-BPG-950,10 02 10.70 -60 13 44.1,Car,UG,--,17.1 - 20.5 G,150.54458333333332,-60.22891666666667
Gaia22alv,000-BPG-979,08 25 40.17 -61 05 05.6,Car,UG:,--,17.2 - <22 G,126.41737499999996,-61.08488888888889
Gaia22boy,--,10 13 15.28 -62 20 55.4,Car,UG:,--,18.5 - 24: r G,153.31366666666665,-62.34872222222222
Gaia22cal,--,11 16 16.28 -58 39 54.0,Car,UG|SN,--,18.6 - <23.5 r G,169.06783333333334,-58.665
Gaia22coi,--,10 19 24.08 -70 07 32.4,Car,UG:,--,18.9 - <22 G,154.8503333333333,-70.12566666666666
Gaia22cpb,--,11 01 17.27 -60 49 31.0,Car,UG|SN,--,18.9 - 24: G,165.32195833333333,-60.82527777777778
Gaia22eht,000-BPM-863,10 14 14.34 -58 26 02.2,Car,UG:,--,19.0 - 24.5: r G,153.55974999999998,-58.43394444444444
GDS_J1005287-573749,--,10 05 28.72 -57 37 49.5,Car,UG,--,13.2 - 16.4: V,151.36966666666666,-57.63041666666667
GSC 08944-02101,000-BMZ-002,09 19 16.31 -63 07 30.1,Car,NL,--,13.3 - 14.0 V,139.8179583333333,-63.12502777777778
KLK-18,000-BNC-382,10 38 51.79 -65 28 00.4,Car,NL/VY:,--,16.3 - <21.0 R V,159.71579166666663,-65.46677777777778
KLK-26,000-BNG-962,09 42 04.71 -61 14 08.0,Car,UG,--,16.9 - 21.0 G R,145.519625,-61.23555555555556
KLK-36,000-BNK-526,10 21 33.74 -59 47 52.0,Car,UG,--,17.1 - 20.8 G,155.3905833333333,-59.797777777777775
MASTER OT J072119.13-531755.3,000-BLV-920,07 21 19.13 -53 17 55.3,Car,UG,--,18.4 - <22 CR,110.32970833333331,-53.29869444444444
MASTER OT J072503.19-575015.1,000-BLV-336,07 25 03.19 -57 50 15.1,Car,UG,--,19.2 - <22 CR,111.26329166666666,-57.83752777777778
MASTER OT J072703.91-631952.8,000-BLS-680,07 27 03.88 -63 19 52.5,Car,NL/VY,--,14.1 - 19.6 CV,111.76616666666665,-63.331250000000004
MASTER OT J074359.55-512302.2,000-BLR-064,07 43 59.44 -51 23 02.7,Car,UG,--,17.1 - 22.2 B CR,115.99766666666665,-51.38408333333333
MASTER OT J074509.15-621438.0,000-BMD-503,07 45 09.15 -62 14 38.0,Car,UG,--,18.0 - 22.0 B CR,116.28812499999998,-62.24388888888889
MASTER OT J075305.60-620103.2,000-BNL-071,07 53 05.60 -62 01 03.2,Car,UG:,--,18.5 - <22 CR,118.27333333333331,-62.01755555555555
MASTER OT J080229.57-573351.7,000-BLV-097,08 02 29.57 -57 33 51.7,Car,UG,--,18.6 - <22 CR,120.62320833333332,-57.56436111111111
MASTER OT J081447.78-560013.3,000-BPG-990,08 14 47.78 -56 00 13.3,Car,UG:,--,17.2 - <22 CR,123.69908333333329,-56.00369444444444
MASTER OT J081447.89-583624.2,000-BMF-448,08 14 47.89 -58 36 24.2,Car,UG,--,16.9 - <20.3 CR,123.69954166666663,-58.606722222222224
MASTER OT J081809.50-634348.3,000-BLP-261,08 18 09.40 -63 43 48.6,Car,UG,--,15.8 - 22: CR,124.53916666666666,-63.73016666666667
MASTER OT J084116.61-604743.6,000-BLR-365,08 41 16.61 -60 47 43.6,Car,UG,--,18.1 - <22 CR,130.3192083333333,-60.79544444444444
MASTER OT J084630.20-594905.4,000-BLX-408,08 46 30.20 -59 49 05.4,Car,UG,--,17.6 - <22 CR,131.62583333333333,-59.81816666666667
MASTER OT J085243.03-585755.8,000-BNK-532,08 52 43.03 -58 57 55.8,Car,UG:,--,18.7 - <22 CR,133.17929166666664,-58.965500000000006
MASTER OT J085337.83-604501.0,000-BLT-619,08 53 37.84 -60 45 01.7,Car,UG,--,15.0 V - 19.5: CR,133.40766666666664,-60.75047222222222
MASTER OT J085958.73-632213.0,000-BLQ-466,08 59 58.73 -63 22 13.0,Car,UG,--,16.5 - <19.6 CR,134.9947083333333,-63.37027777777778
MASTER OT J090524.80-665545.9,000-BNM-387,09 05 24.71 -66 55 45.7,Car,UG,--,16.1 - 20.6 G,136.35295833333333,-66.92936111111112
MASTER OT J091005.78-611355.5,000-BMD-038,09 10 05.78 -61 13 55.5,Car,UG,--,17.5 - <22 CR,137.5240833333333,-61.232083333333335
MASTER OT J091047.21-622754.5,000-BMN-154,09 10 47.21 -62 27 54.5,Car,UG:,--,17.5 - <22 CR,137.6967083333333,-62.465138888888895
MASTER OT J091429.59-700150.4,000-BMH-216,09 14 29.59 -70 01 50.4,Car,UG,--,16.2 - <20.6 G CR,138.62329166666663,-70.03066666666666
MASTER OT J091558.28-675805.0,000-BMW-013,09 15 58.55 -67 58 03.3,Car,UG,--,16.7 - <22 CR,138.9939583333333,-67.96758333333334
MASTER OT J092049.53-702405.6,000-BMZ-900,09 20 49.53 -70 24 05.6,Car,UG:,--,17.8 - <22 CR,140.206375,-70.40155555555556
MASTER OT J094505.87-654343.3,000-BMF-492,09 45 05.87 -65 43 43.3,Car,UG,--,17.5 - <22 CR,146.2744583333333,-65.72869444444444
MASTER OT J094713.57-724822.1,000-BLP-444,09 47 13.46 -72 48 22.4,Car,UG,--,18.1 - <22 CR,146.8060833333333,-72.80622222222222
MASTER OT J095702.14-690235.7,000-BLP-933,09 57 02.30 -69 02 35.9,Car,UG,--,16.5 - 20.5 CR CR,149.2595833333333,-69.04330555555555
MASTER OT J101545.73-675357.5,000-BLS-775,10 15 45.73 -67 53 57.5,Car,UG,--,14.9 CR - <21.5 B,153.94054166666663,-67.89930555555556
MASTER OT J102754.39-665549.0,000-BNK-806,10 27 54.39 -66 55 49.0,Car,UG:,--,17.7 - <22 CR,156.97662499999998,-66.93027777777779
MASTER OT J103830.90-640119.4,000-BMN-156,10 38 31.06 -64 01 19.6,Car,UG,--,16.7 - 19.8 G CR,159.62941666666663,-64.02211111111112
MASTER OT J104314.74-693529.4,000-BNK-881,10 43 14.75 -69 35 30.3,Car,UG,--,17.4 - 21.7 B CR,160.81145833333332,-69.59174999999999
MASTER OT J110157.15-685516.2,000-BPF-386,11 01 57.02 -68 55 18.1,Car,UG:,--,16.2 - <22 CR,165.4875833333333,-68.92169444444446
MASTER OT J110810.48-713330.6,000-BMH-661,11 08 10.66 -71 33 31.2,Car,UG,--,17.2 - <22 CR,167.04441666666662,-71.55866666666667
MASTER OT J111505.12-681439.8,000-BNC-219,11 15 05.12 -68 14 39.8,Car,UG:,--,17.2 - <22 CR,168.77133333333333,-68.24438888888889
MGAB-V201,000-BNF-132,06 27 51.08 -53 45 17.7,Car,NL/VY:,--,16.7 - 18.8 CV,96.96283333333332,-53.75491666666667
Morel V2 Car,000-BCZ-919,10 54 02.03 -58 32 13.1,Car,UG,--,13.2 - 20.9 r V,163.50845833333332,-58.53697222222222
NSV 18378,--,10 19 04.33 -57 11 08.9,Car,N:,--,<14 - 20.2 i p,154.76804166666665,-57.185805555555554
NSV 18468,--,10 38 23.30 -63 08 30.0,Car,N:,--,13.0: - 18.0: P,159.5970833333333,-63.141666666666666
OGLE-GD-DN-001,--,10 36 19.78 -63 37 32.8,Car,UGWZ,--,17.8 - 22: Ic,159.08241666666663,-63.62577777777778
OGLE-GD-DN-002,--,10 37 28.40 -62 49 28.8,Car,UG+E,0.177939,18.91 - 20.18 Ic,159.3683333333333,-62.82466666666667
OGLE-GD-DN-003,--,10 38 00.57 -63 22 47.7,Car,UGSU,0.15162,17.50 - 20.19 Ic,159.50237499999997,-63.37991666666667
OGLE-GD-DN-004,--,10 38 45.69 -62 38 52.0,Car,UGSU,--,18.38 - 21.00 Ic,159.690375,-62.647777777777776
OGLE-GD-DN-005,--,10 38 56.17 -62 43 15.8,Car,UG,--,17.71 - 19.56 Ic,159.73404166666663,-62.72105555555556
OGLE-GD-DN-006,--,10 39 47.75 -62 55 29.4,Car,UG,0.269963,17.74 - 19.23 Ic,159.9489583333333,-62.92483333333333
OGLE-GD-DN-007,--,10 39 57.00 -62 45 17.8,Car,UGSU,--,17.17 - 18.01 Ic,159.98749999999998,-62.75494444444445
OGLE-GD-DN-008,--,10 40 14.25 -62 33 17.7,Car,UGSU,--,17.82 - 22.05 Ic,160.05937499999996,-62.554916666666664
OGLE-GD-DN-009,--,10 42 02.40 -62 11 53.5,Car,UGSU,--,16.96 - 19.73 Ic,160.51,-62.19819444444444
OGLE-GD-DN-010,--,10 43 30.62 -61 47 36.8,Car,UG,--,19.47 - 20.99 Ic,160.87758333333332,-61.79355555555556
OGLE-GD-DN-011,--,10 43 34.50 -62 07 34.4,Car,UG,--,18.95 - 20.70 Ic,160.89374999999998,-62.126222222222225
OGLE-GD-DN-012,--,10 46 16.97 -61 50 56.8,Car,UGZ,--,17.13 - 17.71 Ic,161.57070833333333,-61.849111111111114
OGLE-GD-DN-013,--,10 47 46.92 -60 41 08.8,Car,UG,--,19.13 - 20.51 Ic,161.94549999999998,-60.68577777777777
OGLE-GD-DN-014,--,10 47 57.16 -60 41 22.7,Car,UGWZ,--,18.4 - 23: Ic,161.98816666666664,-60.68963888888889
OGLE-GD-DN-015,--,10 47 58.43 -61 38 17.7,Car,UGSU:,--,18.27 - 20.65 Ic,161.9934583333333,-61.63825
OGLE-GD-DN-016,--,10 48 07.40 -61 30 13.5,Car,UGSU,--,18.21 - 20.54 Ic,162.03083333333333,-61.50375
OGLE-GD-DN-017,--,10 50 16.68 -61 50 09.1,Car,UGSU:,--,18.47 - 21.57 Ic,162.56949999999998,-61.835861111111114
OGLE-GD-DN-018,--,10 50 47.10 -61 50 09.7,Car,UG,--,18.95 - 21.21 Ic,162.69624999999996,-61.83602777777778
OGLE-GD-DN-019,--,10 51 36.65 -61 27 39.1,Car,UG,0.426916,18.63 - 21.02 Ic,162.9027083333333,-61.460861111111114
OGLE-GD-DN-020,--,10 52 11.85 -61 41 14.3,Car,UG,0.293191,18.95 - 20.87 Ic,163.04937499999997,-61.687305555555554
OGLE-GD-DN-021,--,10 52 49.48 -61 34 16.5,Car,UG,--,19.78 - 22.19 Ic,163.20616666666666,-61.571250000000006
OGLE-GD-DN-022,--,10 54 00.44 -61 24 38.3,Car,UG,--,18.45 - 21.23 Ic,163.5018333333333,-61.41063888888889
OGLE-GD-DN-023,--,10 55 10.90 -61 48 41.6,Car,UGSU:,--,19.90 - 22.17 Ic,163.79541666666663,-61.81155555555555
OGLE-GD-DN-024,--,10 55 20.52 -60 17 28.1,Car,UG,--,19.34 - 21.12 Ic,163.83549999999997,-60.29113888888889
OGLE-GD-DN-025,--,10 57 17.30 -61 02 04.4,Car,UGSU:,--,17.28 - 18.39 Ic,164.32208333333332,-61.034555555555556
OGLE-GD-DN-026,--,10 57 30.00 -61 40 30.3,Car,UG,--,17.34 - 19.38 Ic,164.37499999999997,-61.67508333333333
OGLE-GD-DN-027,--,10 57 50.90 -60 37 22.6,Car,UGZ,--,18.35 - 19.15 Ic,164.4620833333333,-60.62294444444444
OGLE-GD-DN-028,--,10 59 25.08 -61 17 27.1,Car,UGZ,--,18.37 - 19.70 Ic,164.85449999999997,-61.290861111111106
OGLE-GD-DN-029,--,11 02 35.82 -61 44 09.4,Car,UG,--,19.47 - 21.19 Ic,165.64924999999997,-61.73594444444444
OGLE-GD-DN-030,--,11 05 05.36 -61 10 44.8,Car,UG,--,17.38 - 19.99 Ic,166.27233333333334,-61.17911111111111
OGLE-GD-DN-031,--,11 07 20.59 -61 08 32.9,Car,UGSU,--,18.34 - 20.34 Ic,166.83579166666667,-61.142472222222224
OGLE-GD-ECL-03166,--,10 48 51.53 -60 54 09.1,Car,EA+CV:,0.52596309,17.937 (0.268) Ic,162.21470833333333,-60.90252777777778
OGLE-GD-ECL-06674,--,11 03 52.56 -61 42 58.3,Car,EA+CV:,0.13004370,17.953 (0.233) Ic,165.969,-61.71619444444445
PBC J0927.8-6945,--,09 27 53.09 -69 44 42.0,Car,DQ,0.2021,15.7 (0.7) V,141.97120833333332,-69.745
SSS 101212:072147-520056,--,07 21 46.81 -52 00 56.3,Car,UG,--,16.4 - 20.5 CV,110.44504166666664,-52.01563888888889
SSS 110307:063755-570241,000-BPG-321,06 37 54.68 -57 02 40.9,Car,UG,--,14.3 - 20.0 CV,99.47783333333332,-57.044694444444445
SSS 120216:074949-565426,--,07 49 48.56 -56 54 26.1,Car,UG,--,16.0 - 21.0 CV,117.45233333333333,-56.90725
SSS 120331:074909-604211,000-BLQ-448,07 49 09.48 -60 42 11.6,Car,UG,--,18.3 - <22 CV,117.28949999999999,-60.70322222222222
SSS 120509:070421-520209,--,07 04 20.89 -52 02 08.8,Car,UG,--,17.0 - <20.7 CV,106.08704166666665,-52.035777777777774
SSS 130106:072037-551216,--,07 20 36.51 -55 12 15.7,Car,UG,--,18.0 - <21 CV,110.15212499999998,-55.20436111111111
SSS 130503:070131-603702,--,07 01 30.65 -60 37 02.5,Car,UG,--,16.9 - <20.4 CV,105.37770833333332,-60.61736111111111
SSS 130514:082144-534419,--,08 21 44.26 -53 44 19.2,Car,UG:,--,17.5 - <19.9 CV,125.43441666666665,-53.73866666666667
SSS_J064036.7-524206,--,06 40 36.83 -52 42 06.2,Car,UG,--,15.8 - 17.7 CV,100.15345833333332,-52.70172222222222
TCP J09595761-6750517,000-BPJ-514,09 59 57.61 -67 50 51.7,Car,UG,--,15.3 - 22.3: B g,149.99004166666666,-67.84769444444444
[PK2008] J092134.12-593906.7,--,09 21 34.12 -59 39 06.7,Car,CV,0.126746,16.8 - ? R,140.39216666666667,-59.65186111111111
AM Cas,000-BBD-898,02 26 23.38 +71 18 31.5,Cas,UGSS,0.1652,12.3 - 15.3 V,36.59741666666667,71.30875
DK Cas,000-BBB-409,00 18 07.95 +57 26 08.3,Cas,UGSS,--,14.9 - 18.9 V,4.533124999999999,57.43563888888889
FI Cas,000-BBB-157,00 06 09.95 +55 58 50.8,Cas,UGSS,(32),15.0 - 18.5: p,1.5414583333333332,55.98077777777778
GX Cas,000-BBC-074,00 49 01.49 +56 52 43.6,Cas,UGSU,0.08902,13.3 - 18.5 V,12.256208333333332,56.87877777777778
HT Cas,000-BBC-434,01 10 13.12 +60 04 35.5,Cas,UGSU+E,0.07364720310,12.6 - 19.3 V,17.554666666666662,60.076527777777784
KP Cas,000-BCV-191,00 38 54.80 +61 13 00.0,Cas,UGSU,--,13.8 - 20.0 V,9.728333333333332,61.21666666666667
KU Cas,000-BBC-984,01 31 02.40 +57 54 12.4,Cas,UGSS,(60),12.5 - 19.4 V,22.759999999999994,57.903444444444446
KZ Cas,000-BCV-193,23 08 13.91 +56 27 17.0,Cas,UGSS,--,14.2 - 18.7 V,347.0579583333333,56.45472222222222
LM Cas,000-BCV-195,23 13 00.08 +56 51 20.4,Cas,UGSU:,--,14.7 - 19.2 V,348.25033333333323,56.85566666666667
V0410 Cas,000-BCV-211,00 23 27.66 +61 46 29.1,Cas,NL,--,15.5 - 18.0 p,5.86525,61.77475
V0425 Cas,000-BCV-213,23 03 46.66 +53 17 14.9,Cas,NL/VY,0.1496,14.4 - 18.0 V,345.9444166666666,53.28747222222222
V0452 Cas,000-BBC-145,00 52 18.01 +53 51 50.1,Cas,UGSU,0.0857,14.5 - 19.1 V,13.075041666666666,53.86391666666667
V0495 Cas,000-BDJ-895,02 46 16.05 +62 17 03.4,Cas,UGER:,--,15.1 - 17.6 V,41.566874999999996,62.284277777777774
V0502 Cas,000-BCV-217,02 52 23.92 +58 45 57.5,Cas,UG,--,15.8 - 18.0 V,43.099666666666664,58.765972222222224
V0513 Cas,000-BCV-218,00 18 14.92 +66 18 13.7,Cas,UGZ/IW,0.217,14.9 - 18.9 V,4.562166666666666,66.30380555555556
V0570 Cas,000-BDJ-956,23 16 27.57 +59 48 18.2,Cas,UGZ/IW,--,14.1 - 15.9 V,349.1148749999999,59.805055555555555
V0590 Cas,000-BDJ-976,03 23 41.72 +76 16 53.0,Cas,UG,--,12.9 - 17.8 g,50.92383333333333,76.28138888888888
V0592 Cas,000-BCV-223,00 20 52.24 +55 42 16.2,Cas,NL,0.115063,12.53 - 12.85 V,5.217666666666665,55.7045
V0630 Cas,000-BCS-001,23 48 51.92 +51 27 39.2,Cas,UG,2.56388,13.9 - 16.9 V,357.2163333333333,51.46088888888889
V0705 Cas,000-BCR-846,23 41 47.23 +57 31 00.8,Cas,NA,--,5.7 - 16.4 V,355.4467916666666,57.516888888888886
V0709 Cas,000-BDK-069,00 28 48.80 +59 17 22.2,Cas,DQ,0.2222041,14.75 - 15.35 B,7.203333333333332,59.2895
V0723 Cas,000-BBC-358,01 05 05.35 +54 00 40.1,Cas,NB+E:,0.693265,7.08 - <18.0 V,16.272291666666664,54.01113888888889
V0731 Cas,000-BDK-086,23 57 00.23 +56 45 08.1,Cas,EA+CV:,0.7806,19.09 - 19.46 V,359.2509583333333,56.75225
V1033 Cas,000-BJQ-214,00 22 57.64 +61 41 07.6,Cas,DQ,0.16804,16.1 - 16.9 V,5.740166666666665,61.68544444444444
V1391 Cas,000-BNP-446,00 11 42.96 +66 11 20.8,Cas,NA,--,10.6 - 21.3 i V,2.9289999999999994,66.18911111111112
V1405 Cas,000-BNX-642,23 24 47.73 +61 11 14.8,Cas,NB:,0.1883907,5.2 - 15.6 V,351.19887499999993,61.18744444444444
1RXS J230645.0+550816,000-BNL-440,23 06 42.70 +55 08 20.2,Cas,DQ,0.136:,16.5 - 17.2 r,346.67791666666665,55.13894444444444
2MASS J00003518+6054046,000-BNC-687,00 00 35.21 +60 54 04.4,Cas,UGZ/IW,--,18.9 - 21.5 g,0.14670833333333333,60.90122222222222
2MASS J00594349+6454419,000-BND-241,00 59 43.49 +64 54 42.0,Cas,UG+E,0.18821155,15.9 - 20.7 g,14.93120833333333,64.91166666666668
2MASS J01074282+4845188,000-BLK-187,01 07 42.83 +48 45 18.8,Cas,EA+NL,0.1935980,15.0 - 17.2 V,16.92845833333333,48.75522222222222
2MASS J03181612+7608174,000-BKF-729,03 18 16.16 +76 08 17.5,Cas,UG:,--,13.6 - 15.2 R1,49.56733333333332,76.13819444444445
2MASS J23205675+5605152,000-BND-271,23 20 56.78 +56 05 15.1,Cas,UG,--,16.5 - 21.2 g,350.2365833333333,56.08752777777778
2MASS J23430113+5214305,000-BNC-411,23 43 01.13 +52 14 30.5,Cas,UGZ,--,14.4 - 16.4 V,355.75470833333327,52.24180555555556
ASASSN-14ge,000-BLJ-935,00 59 00.33 +75 00 04.2,Cas,UG,--,16.0 - 19.0 g,14.751374999999998,75.00116666666666
ASASSN-14iq,000-BLK-619,01 41 53.30 +73 53 20.8,Cas,UG,--,15.9 V - 19.9 B,25.47208333333333,73.88911111111112
ASASSN-14iy,000-BLK-620,01 01 39.08 +75 08 38.2,Cas,UG,--,15.3 V - 20.9 B,15.412833333333332,75.14394444444446
ASASSN-14jq,000-BLK-932,02 21 02.80 +73 22 45.1,Cas,UGWZ,--,13.7 - 20.3 V,35.26166666666667,73.37919444444444
ASASSN-15ow,000-BLR-935,01 01 37.95 +54 42 00.6,Cas,UGSU,--,15.0 - 21.8 g,15.408124999999997,54.70016666666667
ASASSN-15qx,--,03 15 38.79 +62 33 13.6,Cas,UG,--,16.77 - <16.8 V,48.911624999999994,62.553777777777775
ASASSN-15rt,000-BLS-716,01 05 46.63 +49 32 05.8,Cas,UG,--,16.5 - <21 V,16.444291666666665,49.53494444444444
ASASSN-15sc,000-BLS-729,02 21 11.94 +60 19 49.2,Cas,UGSU,0.058,14.6 - <19: V,35.299749999999996,60.330333333333336
ASASSN-16jv,000-BLZ-387,02 41 31.18 +59 36 30.3,Cas,UG,--,15.8 - 20.3: V,40.37991666666667,59.60841666666667
ASASSN-16kf,000-BLZ-468,01 12 39.17 +68 11 47.9,Cas,UG,--,14.4 - 21.0 V,18.16320833333333,68.1966388888889
ASASSN-16le,000-BMB-263,23 34 35.55 +54 33 25.6,Cas,UGSU,--,15.5 - 19.3 V,353.648125,54.557111111111105
